Academic Year,Course Faculty,Course Department,Course Code,Course Title,Route Code,Route Name,Block,Occurrence,Module / Group Name,Module Availability,Min Credits,Max Credits,Module Code,Module Name,Core / Optional,Module Credits,Module Level,Module  Department,Module Coordinator,Module  Status,Module Planned Status
2025/26,TEC,COMP,U2753PYC,BSC (HONS) CYBER SECURITY AND FORENSIC COMPUTING,U2753PYC,Cyber Security and Forensic Computing ,1,SEP,ARCHITECTURE AND OPERATING SYSTEMS,SMYEAR,,,M30943,ARCHITECTURE AND OPERATING SYSTEMS,Core,20,FHEQ 4,COMP,Farzad Arabikhan,Approved,
,,,,,,,,,COMP TUTORIAL LEVEL 4,SMYEAR,,,M22731,COMP TUTORIAL LEVEL 4,Core,0,FHEQ 4,COMP,Nadim Bakhshov,Approved,
,,,,,,,,,CORE COMPUTING CONCEPTS FOR CYBER SECURITY,SMYEAR,,,M33193,CORE COMPUTING CONCEPTS FOR CYBER SECURITY,Core,20,FHEQ 4,COMP,Nadim Bakhshov,Approved,
,,,,,,,,,CYBER SECURITY AND FORENSICS ESSENTIALS,SMYEAR,,,M33194,CYBER SECURITY AND FORENSICS ESSENTIALS,Core,20,FHEQ 4,COMP,Oluwafemi Fasunlade,Approved,
,,,,,,,,,NETWORKS,SMYEAR,,,M30231,NETWORKS,Core,20,FHEQ 4,COMP,Amanda J Peart,Approved,
,,,,,,,,,PROGRAMMING 1,SMSEP,,,M34698,PROGRAMMING 1,Core,20,FHEQ 4,COMP,Matthew Poole,Approved,
,,,,,,,,,U2753PYC | BSc (Hons) Cyber Security and Forensic Computing | Year 1 | Teaching Block 1,SMSEP,,,I00348,U2753PYC | BSc (Hons) Cyber Security and Forensic Computing | Year 1 | Teaching Block 1,Core,0,FHEQ 4,COMP,,Approved,
,,,,,,,,,PROGRAMMING 2,SMJAN,,,M34699,PROGRAMMING 2,Core,20,FHEQ 4,COMP,Matthew Poole,Approved,
,,,,,,,2,SEP,COMP TUTORIAL LEVEL 5,SMYEAR,,,M22732,COMP TUTORIAL LEVEL 5,Core,0,FHEQ 5,COMP,Matthew Dennis,Approved,
,,,,,,,,,FORENSICS FUNDAMENTALS,SMSEP,,,M23509,FORENSICS FUNDAMENTALS,Core,20,FHEQ 5,COMP,Rahim Taheri,Approved,
