Academic Year,Course Faculty,Course Department,Course Code,Course Title,Route Code,Route Name,Block,Occurrence,Module / Group Name,Module Availability,Min Credits,Max Credits,Module Code,Module Name,Core / Optional,Module Credits,Module Level,Module  Department,Module Coordinator,Module  Status,Module Planned Status
2025/26,TEC,COMP,U2686PYC,BSC (HONS) DATA SCIENCE AND ANALYTICS,U2686PYC,Data Science and Analytics ,1,SEP,ARCHITECTURE AND OPERATING SYSTEMS,SMYEAR,,,M30943,ARCHITECTURE AND OPERATING SYSTEMS,Core,20,FHEQ 4,COMP,Farzad Arabikhan,Approved,
,,,,,,,,,COMP TUTORIAL LEVEL 4,SMYEAR,,,M22731,COMP TUTORIAL LEVEL 4,Core,0,FHEQ 4,COMP,Nadim Bakhshov,Approved,
,,,,,,,,,CORE COMPUTING CONCEPTS,SMYEAR,,,M30220,CORE COMPUTING CONCEPTS,Core,20,FHEQ 4,COMP,Nadim Bakhshov,Approved,
,,,,,,,,,DATABASE SYSTEMS DEVELOPMENT,SMYEAR,,,M30232,DATABASE SYSTEMS DEVELOPMENT,Core,20,FHEQ 4,COMP,Valentin Adamescu,Approved,
,,,,,,,,,PRACTICAL DATA SCIENCE,SMYEAR,,,M30251,PRACTICAL DATA SCIENCE,Core,20,FHEQ 4,COMP,Farzad Arabikhan,Approved,
,,,,,,,,,PROGRAMMING 1,SMSEP,,,M34698,PROGRAMMING 1,Core,20,FHEQ 4,COMP,Matthew Poole,Approved,
,,,,,,,,,U2686PYC | BSc (Hons) Data Science and Analytics | Year 1 | Teaching Block 1,SMSEP,,,I00351,U2686PYC | BSc (Hons) Data Science and Analytics | Year 1 | Teaching Block 1,Core,0,FHEQ 4,COMP,,Approved,
,,,,,,,,,PROGRAMMING 2,SMJAN,,,M34699,PROGRAMMING 2,Core,20,FHEQ 4,COMP,Matthew Poole,Approved,
,,,,,,,2,SEP,APPLIED AI AND MACHINE LEARNING,SMYEAR,,,M34701,APPLIED AI AND MACHINE LEARNING,Core,20,FHEQ 5,COMP,Alaa Mohasseb,Approved,
,,,,,,,,,COMP TUTORIAL LEVEL 5,SMYEAR,,,M22732,COMP TUTORIAL LEVEL 5,Core,0,FHEQ 5,COMP,Matthew Dennis,Approved,
,,,,,,,,,SOFTWARE ENGINEERING THEORY AND PRACTICE,SMYEAR,,,M30819,SOFTWARE ENGINEERING THEORY AND PRACTICE,Core,20,FHEQ 5,COMP,Claudia Iacob,Approved,
,,,,,,,,,DATA STRUCTURES AND ALGORITHMS,SMSEP,,,M21270,DATA STRUCTURES AND ALGORITHMS,Core,20,FHEQ 5,COMP,Dalin Zhou,Approved,
,,,,,,,,,DATABASE PRINCIPLES,SMSEP,,,M21269,DATABASE PRINCIPLES,Core,20,FHEQ 5,COMP,Valentin Adamescu,Approved,
,,,,,,,,,U2686PYC | BSc (Hons) Data Science and Analytics | Year 2 | Teaching Block 1,SMSEP,,,I00352,U2686PYC | BSc (Hons) Data Science and Analytics | Year 2 | Teaching Block 1,Core,0,FHEQ 5,COMP,,Approved,
,,,,,,,,,BIG DATA,SMJAN,,,M26485,BIG DATA,Core,20,FHEQ 5,COMP,Dongxu Gao,Approved,
,,,,,,,,,Teaching Block 2 Optional Modules,SMJAN,20,20,M30236,3D COMPUTER GRAPHICS AND ANIMATION,Optional,20,FHEQ 5,COMP,Jiacheng Tan,Approved,
,,,,,,,,,,,,,M30239,ETHICAL HACKING,Optional,20,FHEQ 5,COMP,Oluwatobi Fajana,Approved,
,,,,,,,,,,,,,M32204,INVESTMENT ANALYSIS,Optional,20,FHEQ 5,AEF,Sina Erdal,Approved,
,,,,,,,,,,,,,IWLP20,IWLP - 20 CR - COURSE STRUCTURE PURPOSES ONLY,Optional,20,0,SELL,,Approved,
,,,,,,,,,,,,,M30237,WEB PROGRAMMING,Optional,20,FHEQ 5,COMP,Richard Boakes,Approved,
,,,,,,,3,SEP,COMP TUTORIAL LEVEL 6,SMYEAR,,,M22733,COMP TUTORIAL LEVEL 6,Core,0,FHEQ 6,COMP,Matthew Dennis,Approved,
,,,,,,,,,DEEP LEARNING,SMSEP,,,M34705,DEEP LEARNING,Core,20,FHEQ 6,COMP,Rahim Taheri,Approved,
,,,,,,,,,U2686PYC | BSc (Hons) Data Science and Analytics | Year 3 | Teaching Block 1,SMSEP,,,I00353,U2686PYC | BSc (Hons) Data Science and Analytics | Year 3 | Teaching Block 1,Core,0,FHEQ 6,COMP,,Approved,
,,,,,,,,,BUSINESS ANALYTICS,SMJAN,,,M26507,BUSINESS ANALYTICS,Core,20,FHEQ 6,COMP,Elisavet Andrikopoulou,Approved,
