Module Code,Module Name,Credits,Assessment Name (on SITS),Percent of Module,Length/Duration,Due Date,What is being submitted?,Name of assessment in Moodle,Return of Feedback Deadline,EC/Late Due Date,EC/Late Return of Feedback Date
M30207,USER EXPERIENCE DESIGN,15,Item 1 - Set exercise (coursework) (CW),50,2000 Words,20/01/2025,2: Written Report (docx/pdf) + supporting files (any),Item 1 - Group Coursework,19/02/2025,03/02/2025,03/03/2025
M30207,USER EXPERIENCE DESIGN,15,Item 2 - Set exercise (exam) (EX),50,60 Minutes,Jan Exam,7: Online Exam (Closed book),Item 2 - Exam,-,-,-
M30248,PARALLEL PROGRAMMING,15,Item 1 - Report (CW),100,4000 Words,13/01/2025,2: Written Report (docx/pdf) + supporting files (any),Item 1 - Report (CW),12/02/2025,27/01/2025,24/02/2025
M30249,SCIENTIFIC COMPUTING AND SIMULATION,15,Item 1 - Report (CW),100,4000 Words,21/05/2025,2: Written Report (docx/pdf) + supporting files (any),Item 1 - Report (CW),23/06/2025,05/06/2025,03/07/2025
M33142,CYBER SECURITY FOR INFORMATION SYSTEMS,15,Item 1 - Portfolio (CW),50,2500 Words,14/05/2025,1: Written Essay (docx / PDF),Item 1 - Report (CW),16/06/2025,29/05/2025,26/06/2025
M33142,CYBER SECURITY FOR INFORMATION SYSTEMS,15,Item 2 - Written exam (EX),50,60 Minutes,,8: Online Exam (Open book),Item 2 - Exam,-,-,-
M33145,PROGRAMMING FOR DATA ANALYTICS AND AI,15,Item 1 - Set exercise (coursework) (CW),100,4000 Words,15/01/2025,2: Written Report (docx/pdf) + supporting files (any),Item 1 - Report (CW),14/02/2025,29/01/2025,26/02/2025
M33148,DATA VISUALISATION AND EXPLORATORY ANALYTICS,15,Item 1 - Portfolio (CW),50,1500 Words,31/03/2025,2: Written Report (docx/pdf) + supporting files (any),,02/05/2025,14/04/2025,15/05/2025
M33148,DATA VISUALISATION AND EXPLORATORY ANALYTICS,15,Item 2 - Oral assessment and presentation (CW),50,20 Minutes,12/05/2025,3: In Class Presentation (pptx),,12/06/2025,27/05/2025,24/06/2025
M33149,DATA MANAGEMENT,15,Item 1 - Set exercise (coursework) (CW),50,2000 Words,13/11/2024,2: Written Report (docx/pdf) + supporting files (any),Item 1 - Report(CW),13/12/2024,27/11/2024,06/01/2025
M33149,DATA MANAGEMENT,15,Item 2 - Set exercise (coursework) (CW),50,2000 Words,22/01/2025,2: Written Report (docx/pdf) + supporting files (any),Item 2 - Report(CW),21/02/2025,05/02/2025,05/03/2025
M33150,BUSINESS INTELLIGENCE,15,Item 1 - Oral assessment and presentation (CW),60,15 Minutes,26/03/2025,3: In Class Presentation (pptx),,29/04/2025,09/04/2025,12/05/2025
M33150,BUSINESS INTELLIGENCE,15,Item 2 - Set exercise (exam) (EX),40,60 Minutes,,7: Online Exam (Closed book),,-,-,-
M33177,RESEARCH METHODS,15,Item 1 - Set exercise (coursework) (CW),30,1500 Words,06/11/2024,1: Written Essay (docx / PDF),,06/12/2024,20/11/2024,18/12/2024
M33177,RESEARCH METHODS,15,Item 2 - Set exercise (coursework) (CW),50,2200 Words,11/12/2024,2: Written Report (docx/pdf) + supporting files (any),,22/01/2025,06/01/2025,03/02/2025
M33177,RESEARCH METHODS,15,Item 3 - Oral assessment and presentation (CW),20,15 Minutes,17/01/2025,3: In Class Presentation (pptx),,18/02/2025,31/01/2025,28/02/2025
M33515,AI FOUNDATIONS IN PRACTICE,15,Item 1 - Set exercise (coursework) (CW),50,1500 Words,25/11/2024,2: Written Report (docx/pdf) + supporting files (any),Item 1 - Set exercise (coursework),06/01/2025,09/12/2024,16/01/2025
M33515,AI FOUNDATIONS IN PRACTICE,15,Item 1 - Set exercise (coursework) (CW),50,1500 Words,01/04/2025,2: Written Report (docx/pdf) + supporting files (any),Item 1 - Set exercise (coursework),06/05/2025,15/04/2025,16/05/2025
M33515,AI FOUNDATIONS IN PRACTICE,15,Item 2 - Set exercise (coursework) (CW),50,1500 Words,13/01/2025,2: Written Report (docx/pdf) + supporting files (any),Item 2 - Set exercise (CW),12/02/2025,27/01/2025,24/02/2025
M33515,AI FOUNDATIONS IN PRACTICE,15,Item 2 - Set exercise (coursework) (CW),50,1500 Words,14/05/2025,2: Written Report (docx/pdf) + supporting files (any),Item 2 - Set exercise (CW),,29/05/2025,26/06/2025
M33516,EXPLAINABLE AI,15,Item 1 - Set exercise (coursework) (CW),100,3000 Words,19/05/2025,2: Written Report (docx/pdf) + supporting files (any),Item 1 - Set exercise (coursework),19/06/2025,03/06/2025,01/07/2025
M33802,STATISTICAL MACHINE LEARNING,15,Item 1 - Set exercise (coursework) (CW),100,10 Pages,16/05/2025,1: Written Essay (docx / PDF),Item 1 - Set execise (CW),18/06/2025,02/06/2025,30/06/2025
M33836,GLOBAL CYBERSECURITY ISSUES,15,Item 1 - Set exercise (exam) (EX),100,90 Minutes,,7: Online Exam (Closed book),Exam,-,-,-
M33875,CLOUD COMPUTING,15,Item 1 - Written assignment including essay (CW),50,2000 Words,15/05/2025,1: Written Essay (docx / PDF),,17/06/2025,30/05/2025,27/06/2025
M33875,CLOUD COMPUTING,15,Item 2 - Written exam (EX),50,60 Minutes,,7: Online Exam (Closed book),,-,-,-
M34099,QUANTUM COMPUTING,15,Item 1 - Report (CW),50,1500 Words,16/12/2024,2: Written Report (docx/pdf) + supporting files (any),Item 1 - Report (CW),27/01/2025,09/01/2025,06/02/2025
M34099,QUANTUM COMPUTING,15,Item 2 - Oral assessment and presentation (CW),10,10 Minutes,18/12/2024,3: In Class Presentation (pptx),Item 2 - Oral assessment and presentation (CW),29/01/2025,13/01/2025,10/02/2025
M34099,QUANTUM COMPUTING,15,Item 3 - Set exercise (exam) (EX),40,60 Minutes,Jan Exam,7: Online Exam (Closed book),,-,-,-
M21267,BUSINESS INFORMATION SYSTEMS SECURITY,20,Item 1 - Portfolio (CW),70,3000 Words,14/05/2025,1: Written Essay (docx / PDF),Item 1 - Report,16/06/2025,29/05/2025,26/06/2025
M21267,BUSINESS INFORMATION SYSTEMS SECURITY,20,Item 2 - Written exam (EX),30,60 Minutes,,8: Online Exam (Open book),Exam,-,-,-
M21269,DATABASE PRINCIPLES,20,Item 1 - Set exercise (coursework) (CW),50,2000 Words,18/12/2024,12: Multiple Files Submission,ITEM 1,29/01/2025,13/01/2025,10/02/2025
M21269,DATABASE PRINCIPLES,20,Item 2 - Set exercise (practical) (CW),20,1000 Words,18/12/2024,12: Multiple Files Submission,ITEM 2,29/01/2025,13/01/2025,10/02/2025
M21269,DATABASE PRINCIPLES,20,Item 3 - Set exercise (exam) (EX),30,60 Minutes,Jan Exam,7: Online Exam (Closed book),ITEM 3,-,-,-
M21270,DATA STRUCTURES AND ALGORITHMS,20,Item 1 - Set exercise (exam) (EX),30,60 Minutes,13/11/2024,7: Online Exam (Closed book),Wiseflow,13/12/2024,27/11/2024,06/01/2025
M21270,DATA STRUCTURES AND ALGORITHMS,20,Item 2 - Written exam (EX),70,90 Minutes,16/05/2025,7: Online Exam (Closed book),Wiseflow,,,
M21274,DISCRETE MATHEMATICS AND FUNCTIONAL PROGRAMMING,20,Item 1 - Set exercise (practical) (CW),30,1000 Words,,7: Online Exam (Closed book),Item 1,18/06/2025,02/06/2025,30/06/2025
M21274,DISCRETE MATHEMATICS AND FUNCTIONAL PROGRAMMING,20,Item 2 - Set exercise (exam) (EX),10,45 Minutes,19/03/2025,7: Online Exam (Closed book),Item 2,22/04/2025,02/04/2025,02/05/2025
M21274,DISCRETE MATHEMATICS AND FUNCTIONAL PROGRAMMING,20,Item 3 - Set exercise (exam) (EX),60,120 Minutes,,7: Online Exam (Closed book),Item 3,-,-,-
M21276,THEORETICAL COMPUTER SCIENCE,20,Item 1 - Set exercise (exam) (EX),50,90 Minutes,20/11/24,7: Online Exam (Closed book),Wiseflow?,20/12/2024,04/12/2024,13/01/2025
M21276,THEORETICAL COMPUTER SCIENCE,20,Item 2 - Written exam (EX),50,90 Minutes,Jan Exam,7: Online Exam (Closed book),Wiseflow?,-,-,-
M21278,ADVANCED DATABASE CONCEPTS,20,Item 1 - Set exercise (coursework) (CW),40,2000 Words,02/04/2025,2: Written Report (docx/pdf) + supporting files (any),,07/05/2025,16/04/2025,19/05/2025
M21278,ADVANCED DATABASE CONCEPTS,20,Item 2 - Written assignment including essay (CW),30,1000 Words,14/05/2025,1: Written Essay (docx / PDF),,16/06/2025,29/05/2025,26/06/2025
