Academic Year,Course Faculty,Course Department,Course Code,Course Title,Route Code,Route Name,Block,Occurrence,Module / Group Name,Module Availability,Min Credits,Max Credits,Module Code,Module Name,Core / Optional,Module Credits,Module Level,Module  Department,Module Coordinator,Module  Status,Module Planned Status
2025/26,TEC,COMP,U3508PYC,BSC (HONS) COMPUTER NETWORKS AND SECURITY,U3508PYC,Computer Networks and Security,1,SEP,ARCHITECTURE AND OPERATING SYSTEMS,SMYEAR,,,M30943,ARCHITECTURE AND OPERATING SYSTEMS,Core,20,FHEQ 4,COMP,Farzad Arabikhan,Approved,
,,,,,,,,,COMP TUTORIAL LEVEL 4,SMYEAR,,,M22731,COMP TUTORIAL LEVEL 4,Core,0,FHEQ 4,COMP,Nadim Bakhshov,Approved,
,,,,,,,,,CORE COMPUTING CONCEPTS FOR CYBER SECURITY,SMYEAR,,,M33193,CORE COMPUTING CONCEPTS FOR CYBER SECURITY,Core,20,FHEQ 4,COMP,Nadim Bakhshov,Approved,
,,,,,,,,,NETWORK ADMINISTRATION,SMYEAR,,,M34700,NETWORK ADMINISTRATION,Core,20,FHEQ 4,COMP,Linda Yang,Approved,
,,,,,,,,,NETWORKS,SMYEAR,,,M30231,NETWORKS,Core,20,FHEQ 4,COMP,Amanda J Peart,Approved,
,,,,,,,,,SYSTEM ADMINISTRATION AND INTERNETWORKING,SMYEAR,,,M30609,SYSTEM ADMINISTRATION AND INTERNETWORKING,Core,20,FHEQ 4,COMP,Linda Yang,Approved,
,,,,,,,,,PROGRAMMING 1,SMSEP,,,M34698,PROGRAMMING 1,Core,20,FHEQ 4,COMP,Matthew Poole,Approved,
,,,,,,,,,U3508PYC | BSc (Hons) Computer Networks and Security | Year 1 | Teaching Block 1,SMSEP,,,I00301,U3508PYC | BSc (Hons) Computer Networks and Security | Year 1 | Teaching Block 1,Core,0,FHEQ 4,COMP,,Approved,
,,,,,,,,,PROGRAMMING 2,SMJAN,,,M34699,PROGRAMMING 2,Optional,20,FHEQ 4,COMP,Matthew Poole,Approved,
,,,,,,,2,SEP,COMP TUTORIAL LEVEL 5,SMYEAR,,,M22732,COMP TUTORIAL LEVEL 5,Core,0,FHEQ 5,COMP,Matthew Dennis,Approved,
,,,,,,,,,ENTERPRISE NETWORKING,SMSEP,,,M33172,ENTERPRISE NETWORKING,Core,20,FHEQ 5,COMP,ioannis kagalidis,Approved,
,,,,,,,,,NETWORK SERVERS AND SERVICES,SMSEP,,,M30202,NETWORK SERVERS AND SERVICES,Core,20,FHEQ 5,COMP,Linda Yang,Approved,
,,,,,,,,,U3508PYC | BSc (Hons) Computer Networks and Security | Year 2 | Teaching Block 1,SMSEP,,,I00302,U3508PYC | BSc (Hons) Computer Networks and Security | Year 2 | Teaching Block 1,Core,0,FHEQ 5,COMP,,Approved,
,,,,,,,,,VIRTUALISATION AND CLOUD DESIGN,SMSEP,,,M34702,VIRTUALISATION AND CLOUD DESIGN,Core,20,FHEQ 5,COMP,Vasileios Adamos,Approved,
,,,,,,,,,ETHICAL HACKING,SMJAN,,,M30239,ETHICAL HACKING,Core,20,FHEQ 5,COMP,Oluwatobi Fajana,Approved,
,,,,,,,,,SECURITY AND CRYPTOGRAPHY,SMJAN,,,M33122,SECURITY AND CRYPTOGRAPHY,Core,20,FHEQ 5,COMP,David Williams,Approved,
,,,,,,,,,Teaching Block 2 Optional Modules,SMJAN,20,20,M26485,BIG DATA,Optional,20,FHEQ 5,COMP,Dongxu Gao,Approved,
,,,,,,,,,,,,,M21267,BUSINESS INFORMATION SYSTEMS SECURITY,Optional,20,FHEQ 5,COMP,Martin Sparrius,Approved,
,,,,,,,,,,,,,IWLP20,IWLP - 20 CR - COURSE STRUCTURE PURPOSES ONLY,Optional,20,0,SELL,,Approved,
,,,,,,,,,,,,,M30237,WEB PROGRAMMING,Optional,20,FHEQ 5,COMP,Richard Boakes,Approved,
,,,,,,,3,SEP,COMP TUTORIAL LEVEL 6,SMYEAR,,,M22733,COMP TUTORIAL LEVEL 6,Core,0,FHEQ 6,COMP,Matthew Dennis,Approved,
,,,,,,,,,ENGINEERING PROJECT,SMYEAR,,,M34704,ENGINEERING PROJECT,Core,40,FHEQ 6,COMP,Shelley Usher,Approved,
,,,,,,,,,NETWORK DESIGN AND ISP SOLUTIONS,SMSEP,,,M33143,NETWORK DESIGN AND ISP SOLUTIONS,Core,20,FHEQ 6,COMP,Shikun Zhou,Approved,
,,,,,,,,,U3508PYC | BSc (Hons) Computer Networks and Security | Year 3 | Teaching Block 1,SMSEP,,,I00303,U3508PYC | BSc (Hons) Computer Networks and Security | Year 3 | Teaching Block 1,Core,0,FHEQ 6,COMP,,Approved,
,,,,,,,,,IT AND INTERNETWORKING SECURITY,SMJAN,,,M33141,IT AND INTERNETWORKING SECURITY,Core,20,FHEQ 6,COMP,Shikun Zhou,Approved,
,,,,,,,,,Teaching Block 1 Optional Modules,SMSEP,20,20,M23524,MALWARE FORENSICS,Optional,20,FHEQ 6,COMP,Julian Murphy,Approved,
,,,,,,,,,,,,,M25764,PRACTICAL DATA ANALYTICS AND MINING,Optional,20,FHEQ 6,COMP,Mohamed Bader,Approved,
,,,,,,,,,,,,,M25160,SECURITY MANAGEMENT,Optional,20,FHEQ 6,COMP,David Williams,Approved,
,,,,,,,,,Teaching Block 2 Optional Modules,SMJAN,20,20,M26507,BUSINESS ANALYTICS,Optional,20,FHEQ 6,COMP,Elisavet Andrikopoulou,Approved,
,,,,,,,,,,,,,M33173,DIGITAL ENTERPRISE AND INNOVATION,Optional,20,FHEQ 6,COMP,Gelayol Golcarenarenji,Approved,
,,,,,,,,,,,,,M30225,DISTRIBUTED SYSTEMS AND SECURITY,Optional,20,FHEQ 6,COMP,Amanda J Peart,Approved,
,,,,,,,,,,,,,M30226,INTERNET OF THINGS,Optional,20,FHEQ 6,COMP,Uchenna Ogenyi,Approved,
,,,,,,,3P,SEP,Placement Year Optional Modules,SMYEAR,20,40,M25681,EXCHANGE STUDY ABROAD,Optional,40,FHEQ 5,COMP,Janka Chlebikova,Approved,
,,,,,,,,,,,,,M30876,INDUSTRIAL PLACEMENT - SCHOOL OF COMPUTING,Optional,20,FHEQ 5,LATW,Lee Woods,Approved,
,,,,,,,4,SEP,COMP TUTORIAL LEVEL 6,SMYEAR,,,M22733,COMP TUTORIAL LEVEL 6,Core,0,FHEQ 6,COMP,Matthew Dennis,Approved,
,,,,,,,,,ENGINEERING PROJECT,SMYEAR,,,M34704,ENGINEERING PROJECT,Core,40,FHEQ 6,COMP,Shelley Usher,Approved,
,,,,,,,,,NETWORK DESIGN AND ISP SOLUTIONS,SMSEP,,,M33143,NETWORK DESIGN AND ISP SOLUTIONS,Core,20,FHEQ 6,COMP,Shikun Zhou,Approved,
,,,,,,,,,U3508PYC | BSc (Hons) Computer Networks and Security | Year 3 | Teaching Block 1,SMSEP,,,I00303,U3508PYC | BSc (Hons) Computer Networks and Security | Year 3 | Teaching Block 1,Core,0,FHEQ 6,COMP,,Approved,
,,,,,,,,,IT AND INTERNETWORKING SECURITY,SMJAN,,,M33141,IT AND INTERNETWORKING SECURITY,Core,20,FHEQ 6,COMP,Shikun Zhou,Approved,
,,,,,,,,,Teaching Block 1 Optional Modules,SMSEP,20,20,M23524,MALWARE FORENSICS,Optional,20,FHEQ 6,COMP,Julian Murphy,Approved,
,,,,,,,,,,,,,M25764,PRACTICAL DATA ANALYTICS AND MINING,Optional,20,FHEQ 6,COMP,Mohamed Bader,Approved,
,,,,,,,,,,,,,M25160,SECURITY MANAGEMENT,Optional,20,FHEQ 6,COMP,David Williams,Approved,
,,,,,,,,,Teaching Block 2 Optional Modules,SMJAN,20,20,M26507,BUSINESS ANALYTICS,Optional,20,FHEQ 6,COMP,Elisavet Andrikopoulou,Approved,
,,,,,,,,,,,,,M33173,DIGITAL ENTERPRISE AND INNOVATION,Optional,20,FHEQ 6,COMP,Gelayol Golcarenarenji,Approved,
,,,,,,,,,,,,,M30225,DISTRIBUTED SYSTEMS AND SECURITY,Optional,20,FHEQ 6,COMP,Amanda J Peart,Approved,
,,,,,,,,,,,,,M30226,INTERNET OF THINGS,Optional,20,FHEQ 6,COMP,Uchenna Ogenyi,Approved,
